title,genres,original_language,popularity,production_companies,release_date,budget,revenue,runtime,status,vote_average,vote_count,credits
Spanish Movie,Comedy,es,7.839,20th Century Fox-Telecinco Cinema-Fox International Productions-Canal+ España-ICAA-Think Studio-ICO,2009-12-03,33000000.0,6982465.0,83.0,Released,4.9,141.0,Alexandra Jiménez
Slackers,Comedy,en,7.835,Sony Pictures-Screen Gems,2002-02-01,14000000.0,6413915.0,86.0,Released,5.165,161.0,Devon Sawa
Grind,Action,en,7.835,Pandora Cinema-Gerber Pictures-900 Films-Gaylord Films-Asphalt Productions,2003-08-15,6000000.0,5141166.0,105.0,Released,6.2,112.0,Mike Vogel
Hell in the Pacific,Drama,en,7.829,Selmur Productions,1968-12-19,4150000.0,3230000.0,103.0,Released,6.993,140.0,Lee Marvin
Zarafa,Family,fr,7.827,France 3 Cinéma-Prima Linéa Productions-Chaocorp-Pathé-SCOPE Pictures-GKIDS-NYAV Post,2012-01-25,10750000.0,12197574.0,78.0,Released,6.8,95.0,Max Renaudin
Tentacles,Horror,it,7.827,American International Pictures-Esse Ci Cinematografica,1977-02-25,750000.0,3000000.0,102.0,Released,4.9,76.0,John Huston
The Serpent and the Rainbow,Horror,en,7.826,Universal Pictures,1988-02-05,7000000.0,19595031.0,98.0,Released,6.4,384.0,Bill Pullman
Away from Her,Drama,en,7.819,Téléfilm Canada-The Movie Network-Echo Lake Entertainment-HanWay Films-Astral Media-Corus Entertainment-Foundry Films-Movie Central-Ontario Media Development Corporation (OMDC)-Super Écran-CBC-Canadian Television Fund-The Film Farm-Capri Releasing-Ontario Film and Television Tax Credit (OFTTC)-Hollydan Works-Pulling Focus Pictures,2007-05-04,3000000.0,9194283.0,110.0,Released,7.1,174.0,Gordon Pinsent
The Sapphires,Comedy,en,7.819,Goalpost Pictures,2012-08-08,9000000.0,20400000.0,103.0,Released,6.9,176.0,Jessica Mauboy
All That Jazz,Drama,en,7.816,Columbia Pictures-20th Century Fox,1979-12-16,12000000.0,37823676.0,123.0,Released,7.5,381.0,Roy Scheider
Silent Trigger,Drama,en,7.815,Newmarket Capital Group-Cine Grande Corporation-Filmline International-Conquistador Entertainment-Algonquin Productions Limited,1996-06-26,15000000.0,76382.0,93.0,Released,5.2,66.0,Dolph Lundgren
Lonely Hearts,Drama,en,7.81,Millennium Films-EFO Films,2006-04-30,18000000.0,2520000.0,108.0,Released,6.1,304.0,John Travolta
A Quiet Passion,Drama,en,7.807,Potemkino-Hurricane Films-Indomitable Entertainment,2016-10-07,8138338.0,1864266.0,125.0,Released,6.1,150.0,Cynthia Nixon
Head of State,Comedy,en,7.806,DreamWorks Pictures-3 Arts Entertainment,2003-03-28,35200000.0,37788228.0,95.0,Released,5.5,242.0,Chris Rock
Empire,Crime,en,7.803,Universal Pictures-Bigel / Mailer Films,2002-12-06,4000000.0,18591272.0,90.0,Released,6.083,84.0,John Leguizamo
Howl,Drama,en,7.801,Rabbit Bandini Productions-Werc Werk Works,2010-08-26,5000000.0,1183258.0,84.0,Released,6.6,150.0,James Franco
Surveillance,Horror,en,7.795,Blue Rider Pictures-Lago Films-See Film,2008-02-08,3500000.0,1138322.0,97.0,Released,5.9,255.0,Julia Ormond
My Beautiful Laundrette,Comedy,en,7.791,Channel Four Films-Working Title Films-SAF Productions,1985-11-16,860000.0,2451545.0,98.0,Released,6.8,215.0,Gordon Warnecke
Perfect,Drama,en,7.787,Tri-Star-Delphi III Productions-Pluperfect-Columbia Pictures,1985-05-15,19000000.0,12918858.0,115.0,Released,5.7,151.0,John Travolta
Summer Storm,Comedy,de,7.784,Claussen+Wöbke Filmproduktion,2004-09-02,2700000.0,2085166.0,98.0,Released,6.7,169.0,Robert Stadlober
Pinocchio and the Emperor of the Night,Animation,en,7.784,Filmation Associates,1987-08-06,8000000.0,3261638.0,83.0,Released,5.5,21.0,Scott Grimes
Affliction,Drama,en,7.784,JVC-Kingsgate Films-Largo Entertainment,1998-02-12,6000000.0,6330054.0,114.0,Released,6.4,212.0,Nick Nolte
Testament,Drama,en,7.777,Paramount-American Playhouse-Entertainment Events,1983-11-04,1500000.0,2044892.0,90.0,Released,6.4,98.0,Jane Alexander
Unstoppable,Action,en,7.776,Millennium Films-Coast Productions A.V.V.,2004-10-20,20000000.0,1039526.0,96.0,Released,5.4,85.0,Wesley Snipes
Kill Theory,Horror,en,7.771,Bender-Spink Inc.,2009-10-07,6000000.0,397941.0,82.0,Released,5.3,105.0,Don McManus
Hot Dog... The Movie,Comedy,en,7.769,United Artists-Hot Dog Partnership Productions,1984-01-13,4506756.0,20307325.0,96.0,Released,4.6,54.0,David Naughton
Pariah,Drama,en,7.763,Focus Features-Sundial Pictures-NorthStar Pictures-Aid + Abet,2011-12-27,500000.0,769552.0,86.0,Released,6.9,112.0,Adepero Oduye
I Am Not Your Negro,Documentary,en,7.758,ARTE-RTBF-Velvet Film-RTS-Independent Lens-Shelter Prod,2017-02-03,1000000.0,7123919.0,93.0,Released,7.8,396.0,Samuel L. Jackson
In Enemy Hands,War,en,7.753,Splendid Pictures-Artisan Entertainment-Pierce/Williams Entertainment-John Brister Productions,2005-04-15,5400000.0,64236.0,94.0,Released,5.9,86.0,William H. Macy
Stolen,Crime,en,7.752,Boy in the Box-Capitol Films-2 Bridges Productions-A2 Entertainment Group,2009-10-10,2000000.0,7306.0,97.0,Released,6.1,78.0,Jon Hamm
Moonlight Mile,Romance,en,7.75,Hyde Park Films-Punch Productions-Gran Via Productions-Touchstone Pictures-Reveal Entertainment,2002-09-09,21000000.0,10011050.0,117.0,Released,6.3,195.0,Dustin Hoffman
Alaska,Adventure,en,7.749,Castle Rock Entertainment-Fuchs/Burg,1996-08-14,23000000.0,11829959.0,109.0,Released,5.9,111.0,Thora Birch
Elegy,Drama,en,7.748,Lakeshore Entertainment,2008-08-08,13000000.0,14894347.0,112.0,Released,6.3,223.0,Penélope Cruz
Renaissance,Action,fr,7.744,Miramax-France 2 Cinéma-CNC-MEDIA Programme of the European Union-Onyx Films-Odyssey Entertainment-Backup Media-Pathé-La Région Île-de-France-LuxAnimation,2006-03-16,18000000.0,1831348.0,105.0,Released,6.6,206.0,Daniel Craig
Freakonomics,Documentary,en,7.742,Chad Troutwine Films-Green Film Company-Human Worldwide-Loki Films,2010-10-01,3000000.0,103735.0,93.0,Released,6.2,97.0,Zoe Sloane
The Death of Mr. Lazarescu,Comedy,ro,7.734,Mandragora,2005-05-17,390000.0,216000.0,150.0,Released,7.2,138.0,Ion Fiscuteanu
Youth Without Youth,Fantasy,en,7.732,American Zoetrope,2007-10-26,5000000.0,244397.0,125.0,Released,6.1,181.0,Tim Roth
Class of 1999,Science Fiction,en,7.729,Lightning Pictures-Original Pictures-Vestron Pictures,1990-04-01,5200000.0,2459895.0,99.0,Released,6.1,183.0,Bradley Gregg
Me and Orson Welles,Comedy,en,7.726,Warner Bros. Pictures-Isle of Man Film-CinemaNX-Detour Filmproduction-Framestore-Hart-Lunsford Pictures,2009-11-25,25000000.0,2336172.0,114.0,Released,6.4,169.0,Zac Efron
Silent Rage,Action,en,7.714,Columbia Pictures-Topkick Productions,1982-04-02,4500000.0,10500000.0,103.0,Released,6.0,128.0,Chuck Norris
Make Your Move,Music,en,7.713,Serendipity Productions-CJ Entertainment-SM Entertainment-Robert Cort Productions,2013-08-07,15000000.0,1583687.0,110.0,Released,5.9,70.0,Derek Hough
Gabbar Is Back,Drama,hi,7.71,Viacom18 Studios-Bhansali Productions,2015-05-01,11000000.0,41000000.0,130.0,Released,7.2,89.0,Akshay Kumar
Sanju,Drama,hi,7.71,Vidhu Vinod Chopra Productions-Rajkumar Hirani Films-Vinod Chopra Films,2018-06-29,21918618.0,67414985.0,161.0,Released,7.3,148.0,Ranbir Kapoor
Neighbors,Comedy,en,7.709,Columbia Pictures,1981-12-18,8500000.0,29916207.0,95.0,Released,5.7,117.0,John Belushi
The Boat,Thriller,en,7.708,Latina Pictures-Hurricane Films,2019-02-22,5000000.0,98559.0,89.0,Released,5.4,86.0,Joe Azzopardi
Beyond the Valley of the Dolls,Comedy,en,7.699,20th Century Fox,1970-07-17,2090000.0,40000000.0,109.0,Released,6.3,154.0,Dolly Read
A Field in England,Drama,en,7.696,Film4 Productions-Rook Films,2013-07-05,300000.0,600000.0,90.0,Released,6.3,206.0,Reece Shearsmith
Leatherheads,Comedy,en,7.68,Universal Pictures-Casey Silver Productions-Smoke House Pictures-Outlaw Productions (I),2008-03-24,58000000.0,41299492.0,114.0,Released,5.8,387.0,George Clooney
Hard to Be a God,Drama,ru,7.671,Sever Studio-Russia-1-Lenfilm,2013-02-27,7000000.0,1310673.0,177.0,Released,6.738,122.0,Leonid Yarmolnik
Mr. Hobbs Takes a Vacation,Family,en,7.669,20th Century Fox,1962-06-15,2000000.0,4000000.0,116.0,Released,6.4,65.0,James Stewart
Desperate Hours,Mystery,en,7.668,Metro-Goldwyn-Mayer-Dino De Laurentiis Company,1990-10-05,18000000.0,2742912.0,105.0,Released,5.5,155.0,Mickey Rourke
Bee Season,Drama,en,7.667,Fox Searchlight Pictures-New Regency Productions,2005-09-03,14000000.0,6856989.0,104.0,Released,5.2,76.0,Richard Gere
Grand Hotel,Drama,en,7.665,Metro-Goldwyn-Mayer,1932-05-25,700000.0,2594000.0,112.0,Released,6.968,249.0,Greta Garbo
The Lost City,Drama,en,7.662,Lions Gate Films,2005-09-03,9600000.0,4386236.0,144.0,Released,6.2,85.0,Andy García
Loose Cannons,Comedy,en,7.662,TriStar Pictures,1990-02-09,1500000.0,5585154.0,94.0,Released,5.0,74.0,Gene Hackman
Drishyam,Crime,ml,7.658,Aashirvad Cinemas,2013-12-19,750000.0,12000000.0,164.0,Released,7.8,146.0,Mohanlal
Carnosaur,Horror,en,7.656,New Horizons Picture,1993-05-21,1000000.0,1753979.0,83.0,Released,4.16,78.0,Diane Ladd
Two Much,Comedy,en,7.651,Lolafilms-PolyGram Filmed Entertainment-Touchstone Pictures-Interscope Communications-Fernando Trueba Producciones Cinematográficas-Sociedad General de Televisión (Sogetel),1995-12-01,24000000.0,1141556.0,118.0,Released,5.408,119.0,Antonio Banderas
Under Capricorn,Crime,en,7.65,Transatlantic Pictures,1949-09-08,2500000.0,1500000.0,118.0,Released,6.0,134.0,Ingrid Bergman
Sands of Iwo Jima,War,en,7.647,Republic Pictures,1950-01-01,1000000.0,7800000.0,100.0,Released,6.4,101.0,John Wayne
Jolly LLB 2,Comedy,hi,7.647,Star Studios,2017-02-09,4480000.0,1632440.0,140.0,Released,7.1,100.0,Akshay Kumar
Gracie,Drama,en,7.643,Elevation Filmworks-Ursa Major Films LLC,2007-06-01,9000000.0,2955039.0,97.0,Released,6.3,74.0,Carly Schroeder
Life in a Day,Documentary,en,7.641,Scott Free Productions-LG-YouTube Originals,2011-01-27,45202.0,225861.0,95.0,Released,7.2,189.0,Cindy Baer
The Grace Card,Drama,en,7.64,GraceWorks Pictures,2011-02-25,200000.0,2295733.0,101.0,Released,7.3,43.0,Michael Joiner
Almost an Angel,Comedy,en,7.638,Paramount,1990-12-21,25000000.0,6939946.0,95.0,Released,5.8,83.0,Paul Hogan
Breaking Away,Drama,en,7.637,20th Century Fox,1979-05-24,2300000.0,20000000.0,100.0,Released,7.2,215.0,Dennis Quaid
Eulogy,Comedy,en,7.636,Myriad Pictures-Artisan Entertainment-Eulogy Productions LLC-Ovation Entertainment,2004-10-15,6500000.0,89781.0,91.0,Released,6.6,102.0,Hank Azaria
The Wedding Banquet,Comedy,zh,7.635,Ang Lee Productions-Good Machine,1993-03-01,1000000.0,6933459.0,109.0,Released,7.087,183.0,Gua Ah
Anjaana Anjaani,Comedy,hi,7.635,Eros Worldwide-Nadiadwala Grandson Entertainment-Curbside Films,2010-09-24,6400000.0,5900000.0,151.0,Released,6.109,69.0,Priyanka Chopra Jonas
Invaders from Mars,Mystery,en,7.631,Cannon Group-Golan-Globus Productions,1986-06-06,12000000.0,4884663.0,100.0,Released,5.5,198.0,Hunter Carson
Life with Mikey,Comedy,en,7.63,Touchstone Pictures,1993-06-04,2000000.0,12440858.0,91.0,Released,5.7,116.0,Michael J. Fox
Twice Born,Drama,it,7.627,Medusa Film,2012-09-13,13000000.0,18295.0,127.0,Released,7.3,413.0,Penélope Cruz
Sylvia,Drama,en,7.627,Focus Features-BBC Film,2003-10-17,7000000.0,10000000.0,109.0,Released,5.9,100.0,Gwyneth Paltrow
Kabali,Action,ta,7.622,V Creations,2016-07-22,18700000.0,74000000.0,150.0,Released,6.0,63.0,Rajinikanth
Lucky Lady,Crime,en,7.619,Gruskoff/Venture Films,1975-12-25,13000000.0,24441725.0,118.0,Released,5.2,13.0,Gene Hackman
Earth,Documentary,en,7.619,Gaumont-Disneynature-BBC Natural History Unit,2007-04-22,15000000.0,109000000.0,90.0,Released,7.6,310.0,Patrick Stewart
Tigerland,Drama,en,7.617,20th Century Fox-Haft Entertainment-New Regency Pictures-KirchMedia,2000-10-06,10000000.0,148701.0,101.0,Released,6.6,472.0,Colin Farrell
Full Frontal,Comedy,en,7.614,Miramax-Populist Pictures-Monophonic Inc.,2002-08-02,2000000.0,3438804.0,96.0,Released,4.7,86.0,David Duchovny
Jimmy P.,Drama,en,7.612,Why Not Productions-Worldview Entertainment-Orange Studio,2013-09-11,10000000.0,30283.0,117.0,Released,6.111,95.0,Benicio del Toro
December Boys,Drama,en,7.599,Village Roadshow Pictures-Australian Film Finance Corporation,2007-09-20,4000000.0,46474.0,105.0,Released,6.0,172.0,Daniel Radcliffe
Boy Culture,Drama,en,7.598,Boy Culture LLC-TLA Releasing,2006-09-15,500000.0,220151.0,88.0,Released,6.451,72.0,Derek Magyar
Breathless,Romance,en,7.596,Orion Pictures-Breathless Associates-Miko Productions,1983-05-13,7500000.0,19910002.0,100.0,Released,5.8,201.0,Richard Gere
Hooper,Action,en,7.595,Warner Bros. Pictures-Lawrence Gordon Productions,1978-07-28,6000000.0,78000000.0,99.0,Released,6.4,106.0,Burt Reynolds
City of Joy,Drama,en,7.594,TriStar Pictures-Allied Filmmakers-Pricel-Lightmotive,1992-04-15,27000000.0,14683921.0,132.0,Released,6.7,134.0,Patrick Swayze
Black Nativity,Music,en,7.592,Fox Searchlight Pictures-Malvern Pictures,2013-11-27,17500000.0,7018189.0,93.0,Released,5.5,49.0,Forest Whitaker
Modern Problems,Comedy,en,7.587,20th Century Fox,1981-12-25,8000000.0,26154211.0,89.0,Released,5.5,61.0,Chevy Chase
Iris,Drama,en,7.587,Miramax-BBC Film-Intermedia Films-Fox Iris Productions-Mirage Enterprises,2001-12-14,5500000.0,16153953.0,91.0,Released,6.5,166.0,Kate Winslet
Toro,Drama,es,7.586,Atresmedia-Escándalo Films-Apaches Entertainment-ZircoZine,2016-04-22,4000000.0,1903083.0,105.0,Released,6.0,138.0,Mario Casas
Far Cry,Action,en,7.586,Brightlight Pictures-Far Cry Productions-Splendid Film-Boll KG,2008-10-02,30000000.0,743.0,95.0,Released,3.7,234.0,Til Schweiger
The Foot Fist Way,Comedy,en,7.584,MTV Films-Gary Sanchez Productions-You Know I Can't Kiss You,2006-06-24,79000.0,245000.0,83.0,Released,5.9,109.0,Danny McBride
Special 26,Crime,hi,7.581,Friday Filmworks,2013-02-07,7100000.0,18000000.0,144.0,Released,7.354,154.0,Akshay Kumar
Lessons of a Dream,Drama,de,7.581,Senator Film-ARD-Rialto Films-Cuckoo Clock Entertainment-Deutschfilm,2011-02-24,6700000.0,1373312.0,113.0,Released,6.9,97.0,Daniel Brühl
Rapa Nui,Adventure,en,7.576,Warner Bros. Pictures-Tig Productions-Majestic Films International-Newcomm-RCS,1994-09-09,20000000.0,305070.0,107.0,Released,6.302,124.0,Jason Scott Lee
Anna Karenina,Drama,en,7.572,Metro-Goldwyn-Mayer,1935-08-30,1152000.0,1439000.0,95.0,Released,6.7,69.0,Greta Garbo
Nebraska,Drama,en,7.571,Paramount Vantage-Bona Fide Productions,2013-09-21,12000000.0,27682872.0,115.0,Released,7.441,1535.0,Bruce Dern
Julieta,Drama,es,7.571,El Deseo-Canal+-TVE-Echo Lake Entertainment-Ciné+,2016-04-08,1490000.0,22468044.0,96.0,Released,7.0,762.0,Emma Suárez
Taking Care of Business,Comedy,en,7.569,Silver Screen Partners-Hollywood Pictures,1990-08-16,14000000.0,20000000.0,108.0,Released,6.3,139.0,Jim Belushi
Married Life,Crime,en,7.568,Sidney Kimmel Entertainment-Firm Films-Anonymous Content,2007-09-12,12000000.0,2888315.0,90.0,Released,5.7,122.0,Chris Cooper
The Razor's Edge,Drama,en,7.565,Columbia Pictures,1984-10-19,13000000.0,6551987.0,129.0,Released,6.474,57.0,Bill Murray
The Ballad of Cable Hogue,Comedy,en,7.563,Warner Bros. Pictures,1970-05-13,3716946.0,5000000.0,121.0,Released,7.0,165.0,Jason Robards
Would I Lie to You?,Comedy,fr,7.562,France 2 Cinéma-Canal+-Orly Films-M6 Films-Les Productions Jacques Roitfeld-Vertigo Productions,1997-04-01,4000000.0,29456000.0,100.0,Released,6.32,449.0,Richard Anconina
¡Asu Mare! 2,Comedy,es,7.558,Tondero Films,2015-04-09,800.0,10.0,100.0,Released,6.4,21.0,Emilia Drago
The Hand,Horror,en,7.554,Warner Bros. Pictures-Orion Pictures,1981-04-24,6500000.0,566736.0,104.0,Released,6.0,116.0,Michael Caine
Motherhood,Comedy,en,7.546,John Wells Productions,2009-01-21,5000000.0,726936.0,90.0,Released,5.0,112.0,Uma Thurman
The Midwife,Drama,fr,7.54,France 3 Cinéma-Curiosa Films,2017-03-22,7000000.0,7286136.0,117.0,Released,6.1,116.0,Catherine Frot
ACAB : All Cops Are Bastards,Action,it,7.539,Babe Films-Cattleya-Fast Film-RAI Cinema,2012-01-27,5000000.0,3300000.0,105.0,Released,6.995,727.0,Pierfrancesco Favino
Max & Leon,War,fr,7.537,TF1 Films Production-StudioCanal-Nexus Factory-uMedia-Légende Films-Blagbuster-Le 12e Art-C2M Productions,2016-11-01,12156348.0,8750678.0,98.0,Released,6.353,709.0,Grégoire Ludig
Fan,Action,hi,7.536,Yash Raj Films-Red Chillies Entertainment,2016-04-14,12750000.0,28000000.0,138.0,Released,6.4,208.0,Shah Rukh Khan
The Past,Drama,fr,7.535,BIM Distribuzione-France 3 Cinéma-Memento Films Production,2013-05-17,11000000.0,10631747.0,130.0,Released,7.3,467.0,Bérénice Bejo
Wet Hot American Summer,Comedy,en,7.533,Universal Pictures-Eureka Pictures,2001-07-27,5000000.0,295206.0,97.0,Released,6.3,674.0,Janeane Garofalo
Pollock,Drama,en,7.53,Fred Berner Films-Zeke Productions,2000-09-06,6000000.0,10994533.0,122.0,Released,6.7,258.0,Ed Harris
Superstar,Comedy,en,7.529,Paramount-SNL Studios-United International Pictures-Broadway Pictures-CIC Video-Argentina Video Home,1999-10-08,14000000.0,30636478.0,82.0,Released,5.3,248.0,Molly Shannon
Where Do We Go Now?,Drama,ar,7.524,Les Films des Tournelles,2011-09-14,21000000.0,6700000.0,110.0,Released,7.4,159.0,Claude Msawbaa
Living Out Loud,Comedy,en,7.521,New Line Cinema-Jersey Films,1998-10-30,12000000.0,12902790.0,100.0,Released,6.0,41.0,Holly Hunter
Machuca,Drama,es,7.519,Ibermedia-Tornasol Films-Canal+ España-TVE-Invercine&Wood,2004-02-24,1500000.0,3187700.0,116.0,Released,7.8,154.0,Matías Quer
Not Cool,Comedy,en,7.517,Steeltown Entertainment-Point Park University-Shaderville,2014-09-23,800000.0,36026.0,93.0,Released,3.4,87.0,Shane Dawson
Wings,Drama,en,7.514,Paramount Famous Lasky Corporation,1927-08-12,2000000.0,3600000.0,141.0,Released,7.2,216.0,Clara Bow
Jennifer Eight,Crime,en,7.511,Paramount,1992-11-06,20000000.0,11390479.0,124.0,Released,6.0,289.0,Andy García
Shampoo,Comedy,en,7.508,Columbia Pictures-Persky-Bright Productions,1975-02-11,4000000.0,49407734.0,110.0,Released,6.069,173.0,Warren Beatty
In Too Deep,Drama,en,7.497,Dimension Films-Suntaur Entertainment Company-Miramax,1999-08-25,7000000.0,14011454.0,95.0,Released,6.7,71.0,Omar Epps
Japanese Story,Drama,en,7.496,Fortissimo Films-Gecko Films-Australian Film Finance Corporation,2003-08-30,5740000.0,4098613.0,110.0,Released,6.4,62.0,Toni Collette
Dead Man on Campus,Comedy,en,7.495,MTV Films-Paramount,1998-08-21,14000000.0,15064946.0,96.0,Released,5.5,117.0,Tom Everett Scott
Catfish,Documentary,en,7.493,Hit the Ground Running Films-Supermarché,2010-09-17,30000.0,3045943.0,87.0,Released,6.837,465.0,Nev Schulman
The Wackness,Drama,en,7.492,Sony Pictures Classics-SBK Pictures-Occupant Entertainment,2008-07-03,6000000.0,3175469.0,99.0,Released,6.3,234.0,Josh Peck
A Home at the End of the World,Drama,en,7.491,Killer Films-Hart-Sharp Entertainment,2004-07-23,6500000.0,1548955.0,96.0,Released,6.56,133.0,Colin Farrell
Sleight,Drama,en,7.487,Diablo Entertainment-Blumhouse Productions,2016-04-28,250000.0,3914430.0,89.0,Released,5.4,477.0,Jacob Latimore
Who Killed Captain Alex?,Action,en,7.487,Ramon Film Productions-Wakaliwood,2010-03-01,200.0,200.0,64.0,Released,6.5,101.0,Kakule Wilson
Slack Bay,Comedy,fr,7.486,ARTE France Cinéma-Pallas Film-3B Productions-WDR/Arte-Twenty Twenty Vision Filmproduktion,2016-05-13,8104734.0,920719.0,124.0,Released,5.5,226.0,Fabrice Luchini
Singh Is Kinng,Action,hi,7.485,Hari Om Entertainment-Reliance Entertainment,2008-01-01,14000000.0,25000000.0,135.0,Released,5.6,68.0,Akshay Kumar
The Funeral,Crime,en,7.485,October Films-C&P Productions-MDP Worldwide,1996-01-26,12500000.0,1227324.0,99.0,Released,6.9,133.0,Christopher Walken
Women in Trouble,Comedy,en,7.478,Gato Negro Films,2009-11-13,3000000.0,18097.0,92.0,Released,5.3,85.0,Carla Gugino
Singham,Drama,hi,7.478,Reliance Entertainment,2011-07-22,3062000.0,25034000.0,143.0,Released,6.7,118.0,Ajay Devgn
The Man with the Golden Arm,Drama,en,7.477,Otto Preminger Films-United Artists,1955-12-26,1000000.0,4350000.0,119.0,Released,7.2,184.0,Frank Sinatra
Judwaa 2,Action,hi,7.474,Star Studios-Nadiadwala Grandson Entertainment,2017-09-29,10000000.0,34500000.0,150.0,Released,5.724,87.0,Varun Dhawan
Why Did I Get Married Too?,Comedy,en,7.47,Lions Gate Films-Tyler Perry Studios,2010-04-02,20000000.0,60072596.0,121.0,Released,6.5,123.0,Tyler Perry
The Perfect Guy,Thriller,en,7.462,Screen Gems,2015-09-11,12000000.0,60273173.0,100.0,Released,5.7,291.0,Michael Ealy
House of Usher,Horror,en,7.461,Alta Vista Productions-American International Pictures,1960-06-22,270000.0,1450000.0,79.0,Released,6.6,242.0,Vincent Price
Heaven's Prisoners,Drama,en,7.459,PVM Entertainment-Ruddy Morgan Productions-The Rank Organisation-New Line Cinema-Savoy Pictures,1996-05-17,25000000.0,5009305.0,132.0,Released,5.2,64.0,Alec Baldwin
The Thin Man Goes Home,Comedy,en,7.455,Metro-Goldwyn-Mayer,1944-12-24,1401000.0,2814000.0,101.0,Released,7.1,69.0,William Powell
Maligno,Horror,es,7.442,Dolby,2016-07-14,150000.0,400000.0,0.0,Released,6.0,20.0,Sofía Rocha
Aline,Music,fr,7.437,Gaumont-Téléfilm Canada-Rectangle Productions-Caramel Films-Belga Productions-TF1 Studio-Entourage Pictures,2020-11-19,25900000.0,11131254.0,126.0,Released,6.9,260.0,Valérie Lemercier
Hide and Seek,Thriller,ko,7.433,Next Entertainment World-Studio Dream Capture,2013-08-14,1900000.0,35461505.0,107.0,Released,6.5,80.0,Son Hyun
Gladiators of Rome,Animation,it,7.432,Rainbow,2012-10-18,40000000.0,10079201.0,94.0,Released,5.6,124.0,Luca Argentero
Badhaai Ho,Comedy,hi,7.427,Junglee Pictures-Chrome Star Pictures,2018-10-19,4000000.0,39000000.0,125.0,Released,7.3,111.0,Ayushmann Khurrana
Pietà,Drama,ko,7.427,Kim Ki Duk Film-Next Entertainment World,2012-09-05,103000.0,6616296.0,104.0,Released,7.134,305.0,Cho Min
Primary Colors,Drama,en,7.422,Universal Pictures-Mutual Film Company,1998-03-20,65000000.0,52100000.0,143.0,Released,6.3,257.0,John Travolta
Assembly,Action,zh,7.422,Huayi Brothers Media Corporation-Media Asia Films-Shanghai Film Group-MK Pictures-China Film Co-Production Corporation,2007-10-09,16000000.0,34786960.0,123.0,Released,6.824,105.0,Zhang Hanyu
Bilal: A New Breed of Hero,Action,en,7.415,Resnick Interactive Development-Barajoun Entertainment,2016-09-08,30000000.0,1750000.0,105.0,Released,6.9,124.0,Adewale Akinnuoye
Simon Sez,Action,en,7.414,Signature Pictures-Global Medien KG,1999-01-01,10000000.0,292151.0,85.0,Released,2.8,53.0,Dennis Rodman
Sisters in Arms,Action,fr,7.413,France 2 Cinéma-Davis Films-Eagle Pictures-Kador-Place du Marché Productions-Happy Moon Productions,2019-10-09,5600000.0,540482.0,112.0,Released,7.257,115.0,Dilan Gwyn
B.A.P.S.,Comedy,en,7.409,New Line Cinema-Island Pictures,1997-03-28,10000000.0,7240837.0,90.0,Released,5.3,59.0,Halle Berry
Don 2,Action,hi,7.408,Red Chillies Entertainment-Excel Entertainment-Landmark Productions-Pixion Studio,2011-12-23,11000000.0,2900000.0,139.0,Released,6.987,194.0,Shah Rukh Khan
The Dirty Picture,Comedy,hi,7.404,Balaji Motion Pictures-Cult Movies,2011-12-02,2600000.0,17000000.0,144.0,Released,6.3,70.0,Vidya Balan
Snow Cake,Romance,en,7.403,Revolution Films-Rhombus Media,2006-09-08,12000000.0,1381665.0,112.0,Released,7.1,143.0,Alan Rickman
The Duelist,Adventure,ru,7.399,Non-Stop Productions,2016-09-29,12823507.0,6101904.0,110.0,Released,6.3,73.0,Pyotr Fyodorov
Mean Creek,Crime,en,7.392,Paramount Vantage-Whitewater Films-Focus Features,2004-01-15,500000.0,603943.0,90.0,Released,6.9,306.0,Rory Culkin
Adventures of Don Juan,Action,en,7.391,Warner Bros. Pictures,1948-12-01,3408000.0,4772000.0,110.0,Released,6.552,30.0,Errol Flynn
Demonlover,Drama,fr,7.389,PROCIREP-TPS Cinéma-M6 Films-Forensic Films-Citizen Films-Cofimage-Elizabeth Films-Group Dataciné-La Sofica Gimages 2,2002-11-06,7900000.0,231800.0,121.0,Released,5.6,77.0,Connie Nielsen
The Draughtsman's Contract,Comedy,en,7.389,Channel 4 Television-BFI,1982-11-12,370800.0,2256246.0,108.0,Released,7.1,175.0,Anthony Higgins
Vamp,Comedy,en,7.385,Balcor Film Investors-Planet Productions,1986-07-18,3300000.0,4941117.0,93.0,Released,6.0,129.0,Grace Jones
Parts Per Billion,Science Fiction,en,7.383,Benaroya Pictures-XYZ Films-PalmStar Media-Miscellaneous Entertainment-Traverse Media,2014-03-25,1300000.0,15000000.0,98.0,Released,4.3,53.0,Josh Hartnett
Curdled,Comedy,en,7.382,Miramax-Tinderbox Films,1996-09-06,2300000.0,49620.0,88.0,Released,5.858,95.0,William Baldwin
Bling,Family,en,7.374,Digiart Productions-Digital Idea,2016-05-06,15000000.0,1404291.0,81.0,Released,6.1,29.0,Taylor Kitsch
Bummer,Crime,ru,7.373,CTB Film Company-Pygmalion Production,2003-08-02,700000.0,1600000.0,110.0,Released,6.3,99.0,Sergey Gorobchenko
Dinner at Eight,Comedy,en,7.371,Metro-Goldwyn-Mayer,1933-12-22,435000.0,2156000.0,111.0,Released,6.7,86.0,Marie Dressler
Your Friends & Neighbors,Drama,en,7.367,Propaganda Films-PolyGram Filmed Entertainment,1998-02-04,5000000.0,4710749.0,100.0,Released,6.0,63.0,Amy Brenneman
